Title,Author,Poem Text
Дөлгөөн,Лемонс,"Өглөөний дөлгөөн салхинд би 
Газраас хөндийрч, өөрийгөө мартсан 
Яагаад ч юм тэгэхэд би зүгээр нисээд л 
Хаашаа хийсэж байгаагаа бодохыг огт хүсээгүй 
Зүрхэнд чинь хайрыг үлдээе 
Зүүдэнд чинь хүслээ шивнэе 
Зүгээр л өөрийгөө би мартъя 
Шүлэг дуу минь чамайг ярина 
Шөнө нь бодож, өдөр нь санана 
Чи миний мөрөөдлийн арал 
Зүрхэнд чинь хайрыг үлдээе 
Зүүдэнд чинь хүслээ шивнэе 
Зүгээр л өөрийгөө мартъя 
Маргаашийн тухай би юу ч бодолгүй 
Түүнд ойрхон байхдаа би хос далавчтай 
Энэ яг юу болохыг хэлж мэдэхгүй ч 
Би түүний байх газар үлдэхийг хүсээд төсөөлсөн"
Эрчүүдийг үзэн ядах сэтгэлийг надад өгөөч,Отгоо,"Эрчүүдийг үзэн ядах сэтгэлийг надад өгөөч 
Ээждээ би хайртай эгчдээ бас хайртай 
Зүүдний ертөнцөөр зөвхөн би үлгэрийн дагинатай зугаалдаг 
Зүрх сэтгэл минь зөвхөн охидыг хайрлах өвчтэй 
Хайрлах өвчтэй 
Эрчүүдийг үзэн ядах сэтгэлийг надад өгөөч 
Эмзэг ариун уян зөөлөн бүхний эхлэл бүсгүй хүнийг 
Балмад араншин худал хуурмагаар дүүрсэн 
Эрчүүдийн ертөнц эзэгнэсэн хэвээрээ, хэвээрээ"
Буга урамдах цагаар,Амгаа,"Хундага дарсны ард гуниглан суухдаа 
Хурмастын зүг харлаа 
Диваажинг хайлаа, диваажинг хайлаа 
Таныгаа хайлаа гэвч олсонгүй ээ 
Амьдрал урт биш, амьдрал мөнх биш 
Нэг л өдөр явна 
Уйлах л юм, урсах л нулимс минь 
Таныгаа дуудлаа гэвч чимээгүй ээ 
Эгэл төрхийг тань зүүдэндээ харлаа 
Эргэж ирэхийг тань хүлээлээ 
Хайрыг тань саналаа, сургаалийг тань саналаа 
Сэтгэлээ барилаа гэвч уйллаа"
Зүүдэндээ,San Juniper,"Өчигдөр зүүдэлсэн зөвхөн өөрийгөө 
Өөр хэн ч миний дэргэд байсангүй 
Тэр зүүднээс зугатах гэж хэчнээн оролдсон ч 
Үүрээр үргэлж гунигтай сэрдэг байлаа 
Түнэр харанхуйгаас өнгийг би хайлаа 
Чиний нүднээс би итгэлийг олж харлаа 
Намайг ганцаардахаас аварсан тэр нэгэн агшин 
Миний хамгийн жаргалтай зүүд байлаа"
Цаг хугацаа бүгдийг эмчилнэ,Нисванис,"Амьдрал яг утас шиг хөвөрмүй 
Аашийг нь бид үл ойлгомуй 
Унаж тусаад 
Санаж сэрээд 
Өгсөж уруудаад цааш одмуй 
Замбуулин дуусахгүй 
Зангийг нь бид үл олмуй 
Сэтгэл сэмрэнэ 
Итгэл нурана 
Гэвч цаг хугацаа түүнийг эмчилмүй"
Үүлэн цоорхойн нар,Хонх,"Намрын сэрүүн үдэш намираа бороо шаагина 
Найган ганхах модод гуниглан навчсаар уйлна 
Тэртээх алсад галуу шувуу ганганана 
Тэгээд надад хагацал илгээн шимшрүүлнэ 
Цэнхэр хаврын цэцэг цээжинд минь дэлгээстэй 
Цэцгэн настай дурлал зүрхэнд чинь гандаастай 
Хайраа өгсөн хайлган чиний сэтгэл 
Хавар амилж намар гудайх цэцгийн адил"
Хайр минь билээ чи,Хонх,"Байн байн ирэх юм гэж чи юунд асуув 
Байсхийгээд утсаар ярилаа гэж зэмлээ юу 
Хайр минь билээ чи, хайрт минь билээ чи 
Өдөр бүр чамайгаа би боддог 
Үдшийн бүрийд харуулдан зогсдог 
Орцны гадаа зогслоо гэж юунд асуув 
Оройн цагаар ирлээ гэж зэмлээ юу 
Хайр минь билээ чи, хайрт минь билээ чи 
Өдөр бүр чамайгаа би боддог 
Үдшийн бүрийд харуулдан зогсдог 
Надтай ханьсдаг улиас модноос асуу 
Чам дээр тусдаг сарны гэрлээс асуу 
Хайр минь билээ чи, хайрт минь билээ чи 
Өдөр бүр чамайгаа би боддог 
Үдшийн бүрийд харуулдан зогсдог"
Зүүдэн бороо,Б. Лхагвасүрэн,"Халин халин нисээд ирсэн шувуу 
Харзны усанд элгээ жиндээн ганганах юм 
Харын хар нүдэн чамайгаа 
Харж л суух минь хэзээ л юм бол доо 
Нэмэн нэмэн дүүрэх шинийн саран 
Нэг л зөөлхөн дээшээгээ дэгдэн мандах юм 
Сайны дээд энхрий чамайгаа 
Санаж л явах минь заяа юм даа 
Нойрон дунд зүсрэх зүүдэн бороо 
Норсон дэр хацрыг минь хайран өнчрөөх юм 
Тооныг нь элбэж өргөсөн гэртээ 
Тормойж суух чинь хэзээ л юм бол доо"
Миний амьдрал,Фаяр,"Амьдрал надад аз жаргал бэлгэлсээр 
Алгуурхан би түүнийг шимтэн амталдагсан 
Зүрх минь надад хайрыг байнга мэдрүүлсээр 
Зөвхөн би түүнд өөрөө үргэлж тэмүүлдэгсэн 
Миний амьдралд эцэс төгсгөлгүй 
Мөнхийн юмс хэзээ ч байгаагүй ээ 
Миний амьдрал үнэн худлын дунд 
Баярлаж гунигласан ертөнц байлаа"
Гэрэлт ирээдүй намайг дуудна,Амгаа,"Цаг үе надад зэвүүн санагдана 
Цаашдын амьдрал яах нь мэдэгдэхгүй 
Гэлээ ч би гутрахгүй ээ 
Гэрэлт ирээдүй намайг дуудна 
Гэрэлт ирээдүй намайг дуудна"
Ай чи минь хаана явна вэ,Д.Болд,"Нялх багийн сэтгэл 
Халин нисээд одлоо 
Халх монгол бүсгүйг 
Хайж мөрөөдөх боллоо 
Ай чи минь хаа явна вэ 
Аз заяа хурсан 
Өрх гэрээ бариад 
Өр зүрхнээ хослох 
Хань минь чи хаа явна 
Ай чи минь хаа явна вэ 
Нарт дэлхийн уудамд 
Үүрд ханилах ханиа 
Олж харахгүй явна уу 
Онж танихгүй байна уу"
Зочин,Маднэс,"Намайг авахаар намар ирлээ 
Үзэсгэлэнт сайхан намар ирлээ 
Зөөлөн бороотой ирлээ 
Явъя аа, чиний ээлж ирлээ гэлээ 
Надруу зальтай мишээх юм аа 
Цонхоор орж ирдэг сонин зочин юм 
Гараас минь зөөлөн барих юм 
Салах ёс хийсэн үү, тэгвэл одоо явъя аа 
Намарт би учраа хэллээ 
Цаг минь болсныг би мэдсэнгүй 
Цайгаа ууж амжсангүй 
Энэ дуугаа дуусгаж чадсангүй 
Хариуд нь зальтай мишээх юм 
Чамайг хүлээх зав надад алга 
Би бол ердөө чиний цаг хугацаа 
Дууг чинь харин би, би төгсгөж чадна аа"
Хүсэл,Лемонс,"Чамдаа өгсөн хайр минь 
Дандаа үнсэх уруулыг хүлээнэ 
Хөвөн урсах мэдрэмжийг мөрөөдөн догдолж 
Холын холоос хийсэн нисэх чиний үнэрийг мэдрэн 
Зөөлөн салхи хацар илбэн үүл шүргэн намайг хөтлөн 
Хонгор чинийхээ ялдам хоолойд 
Миний сэтгэл баясан мишээнэ 
Дотно ширтэх харцыг мартаж чадахгүй 
Шөнийн тэнгэрт одод түгнэ 
Чамдаа би очмоор 
Нартай бороонд солонго татан 
Наддаа чи минь ирээч"
